C(C(=O)O)N AGLYSL01
s1c2ccccc2n(c1=O)C COSFAR
S=C([S-])NCCNC(=S)[S-] COSSEI
N1=C(C=CC(=CC=C1C=C)C#N)OC COSWIQ
NNC(=S)Nc1ccc(cc1)Cl COTMON
O=C([O-])C(=O)CCC(=O)O COTPEG
[O-][n+]1ccc(cc1)[N+](=Nc2ccccc2)[O-] COTRIM
CSC(=O)SSSC(=O)SC COVHUQ
N(=CC=NC(C)(C)C)C(C)(C)C COVMAB
c1(ccc(cc1)S(=O)(=O)Nc2nc(cc(n2)C)C)N COVXIU
[P+](O)([O-])([O-])C([NH2+]C(C)C)c1c(cccc1)O COWTIR
P(=O)(OC)(OC)C1SCSCS1 COXBAS
S(C(=S)N=C(N)N)C COXZEU
O=C(N)C1(N(C1)c2ccccc2)C(=O)N COYMOS
NN1C(=O)c2ccccc2C1=O COYNAF
s1c(nnc1c2ccccc2S(=O)(=O)NC)N COYVIV
[nH+]1c(c[nH]c1)Cc2c(c(ccc2)C)C CUBTUO
OC1(C2OC2C(=O)c3c1c(ccc3)C)C CUCDAF
OC1(CC(=O)C2(C1(C2)C(=O)C)C(=O)C)C CUCHOX
S(c1c(ncn1C)[N+](=O)[O-])c2ncccc2O CUCHUD
O=C(N)C1N(C1)C(=NO)C(=NO)C CUDJAM
[Si](C)(C)(C)C1(CCCCC1O)OC CUDNEU
n1ccc(c(c1)O)C(=N[O-])[N+](=O)[O-] CUDPAS
S=C1N(C(N=N1)(C)C)c2ccccc2 CUDPOG
s1c([nH+]cc1)N CUDREY
Oc1cc2c(cc1)C3(OC(=O)c4c3cccc4)c5ccc(cc5O2)O CUFFAK
c1(c(c2c(c(=O)[nH]1)CCCC2)C#N)OCC CUGBEL
ClC(C(=O)O)(C=C(Cl)C(Cl)C(Cl)(Cl)[N+](=O)[O-])C CUGGOA
C12C3C4C(C1([N+](=O)[O-])[N+](=O)[O-])C5(C2C3C5C4)[N+](=O)[O-] CUGLOF
S(C(=NO)c1cccc[n+]1C)C CUJYUB10
S(=O)(=O)(N1OC1c2ccccc2)C CULGEV10
C1CCCCN1CC[N+]2(CCCCC2)[O-] CULHIA10
P1(=O)(OCC(C(O1)C(C)C)(C)C)Cl CULVEK
c1(cc(c(cc1)NN=C(C(=O)C)C)[N+](=O)[O-])[N+](=O)[O-] CUNVAI
ClC1(C(C1)(SC(C)(C)C)C#N)C(=O)OC CUNVEM
S1(=O)(=O)C2C3OC3C(C1CC)C2 CURZIY
O=C([O-])C([NH3+])CSSCCC(=O)O CUVFOO
P1(=O)(C(CCC1(O)C)(O)C)O CUVGAB
N[NH2+]C CUVJOS
o1c(cc2c1cc(cc2OC)OC)C(=O)C CUYRAP
NC#N CYANAM01
Clc1ccc(cc1)[N+]2=C(N=C(NC2(C)C)N)N CYGUAN01
c1(ccc(cc1)S(=O)(=O)N=c2cc(nc([nH]2)C)OC)N DABHAP
C12CC3C(C3(F)F)CC1C2(F)F DABLIB
FP1(=O)OCCCN1C(C)c2ccccc2 DACSAB
S=P1(C(C(C1(C)C)C)(C)C)N(C)C DACYIP
O1CC2=CCN3C2C(OC(=O)CCC1=O)CC3 DADDAN
O=C1NC(=C)C(=C1N)C(=O)C DADLAV
O1C(=N)C(=C(C1=C)C(=O)C)N DADLEZ
c1(ccc(cc1)C)N=NNC DAFKIE
o1nc(c(n1)N)[N+](=O)[O-] DAFPUV
S(=O)(=O)(N(OC)N(S(=O)(=O)C)OC)C DAGTUA
On1c(cccc1=O)C(=O)N(C)C DAHBAP
[Si](Cl)(C)(CC[Si](Cl)(C)C)C DAHNAB
N12C(=O)NC(=O)C3(C1C4C3N=CN4CCC2)C DAJXER
[S-]C1=C(C(C(=C(N1)C)C(=O)C)c2ccccc2[N+](=O)[O-])C#N DAKBAS
n1nnn2c1c3c(c(n2)N=[N+]=[N-])cccc3 DAKCEX
C1(=O)c2ccc(cc2C(N(N1)c3ccc4c(c3)nns4)CC(=O)O)Cl DAKDOI
[Si]12(SCCS1)SCCS2 DANCUQ
S(=O)(=O)(c1ccc(cc1)N)c2ccc(cc2)N DAPSUO03
C1SC(=NC)N2C1CSC2c3c([nH]cn3)C DARDEF
P(=C(N(C)C)N(CC)CC)[Si](C)(C)C DARPOB10
S=c1n(n(c(c1)C)C)c2ccccc2 DARXID
N1=NN(C(c2c1cccc2)O)CC DARZEB
BrC1=C(C(C(C(=O)C1(C)[N+](=O)[O-])(C)[N+](=O)[O-])(C)[N+](=O)[O-])Br DAVWEC
C1(=O)C(C(=C(C(C1(C)[N+](=O)[O-])(C)[N+](=O)[O-])[N+](=O)[O-])C)(C)[N+](=O)[O-] DAVXED
C1(=C(C(C1(F)F)(F)F)[N+](=NC)[O-])NC DAWXII
Clc1cc(=O)oc2c1cccc2 DAWYUV
P1(=O)(OCCCO1)OP2(=O)OCCCO2 DAYWEF
C1(=O)C2(CC2)C(=O)C3(CC3)C(=O)C14CC4 DAZVEF
O=C(O)C=CC(=O)[O-] DEBMOM01
o1nc(c2c1C([NH2+]CC2)C(=O)[O-])O DECJAW
N1(C=C(C(=O)N2C1CCCC2)C(=O)N)C DECKUR
o1c([n+](c2c1cccc2)C)N(C)C DECRIM
Clc1cc(c2c(c1)C(C(=O)N2)(Cl)C)Cl DEDCIY
ICC1N(C(=O)C1)C#CC(=O)OC(C)(C)C DEDSIO
[O-][N+](=NNc1ccc(cc1)C(=O)N)C DEFGIE
C12N(C(=O)N(C1N(C(=O)N2C(=O)C)[N+](=O)[O-])C(=O)C)[N+](=O)[O-] DEFLEF
s1nc([n+](c1N)C)NC DEFPUZ
n1(nnc(nc1=O)N(C)C)c2ccccc2 DEFTUD
N1=[N+](C(=O)N=C1N(C)C)Nc2ccc(cc2)C DEFVAL
S=C(S)C1=C(CCC1)N DEFYUI
ClC(=[N+](C)C)N DEGLUW
c1c(ccc2c1CN3c4c(cc(cc4)C)CN2C3)C DEGRIQ
N1(C(=O)NC(=O)C12C(=O)[N-]C(=O)O2)C DEKRUG
n1nn(c(=O)n2c1c(nc2)C(=O)N)CCCl DEMBIG
S1c2nccnc2Oc3c1nccc3 DEPKEO
[N+]1(=C(C(NC1=O)(C)C)N(C)C)N=C([O-])C(F)(F)F DERZUV
s1cnc(c1N)C(=O)OCC DESWUT
N#CC(=C)N DESYOP
n1(nc(c(=O)c2c1cc3c(c2)OCO3)C(=O)O)CC DEWHOC
[Si](N1C=CN(C=C1)[Si](C)(C)C)(C)(C)C DEWJEU
O=C1C(C(N1)c2ccccc2)C(C)O DEXCIS
N1C(=O)CCn2c1c(cc2)C(=O)NC=O DEXGIW
FC12C3(C(CC1C3CC2(F)F)(F)F)F DEZDUH
S(=O)(=O)(C1=NC=CC2C=CC=CC1C2)C DEZNIF
N12C(=CC=CC(=C1COC2=O)Cl)Cl DEZXEL
c1nc(c2c(n1)n(cn2)C3C=CC(O3)CO)N DHOADS01
s1ccc2c1c3ccccc3cc2Cn4c[nH+]cc4 DICKIJ
c1(cno[n+]1[O-])c2ccccc2 DICPUA
c1(c[n+](on1)[O-])c2ccccc2 DICRAI
[Si](N(C)C)(C)(C)C DICYIX
ClC(=O)C(Cl)(Cl)C(=O)N=C(Cl)N(CC)CC DICYOD
O1N=CCC1C(O)C(O)C(=O)OC DIDYOE
S(=O)(c1c(cccc1)[N+](=O)[O-])c2c(cccc2)[N+](=O)[O-] DIFSIU
S=C([S-])NNC(=S)[S-] DIGCOL
S=C(SC)SCCSC(=S)SC DIGCUR
O=C1OC(C1NC(=O)c2c(c(ccc2)O)O)Cc3ccc(cc3)[N+](=O)[O-] DIGLEK
O=C1C=C(C(=O)c2c1cnn2C)C DIHTET
ClC(Cl)(Cl)C(=O)N1S(=O)(=O)C(C1(C)C)C DIKGAF
S1(=O)(=O)N=C(OC(C1C)(C)C)C(Cl)(Cl)Cl DIKGEJ
C123CCCCC1NC4CCCCC4(N2O)NO3 DIKWID
ClC1(C(=O)C2C1CC=C2C=O)Cl DIKYUR
N1C(=O)C(=C(C)C)C1OC(=O)C(C)(C)C DILCOQ
c1(c(cc(s1)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)c2ccccc2 DIMYIH10
O=c1nc2n(c(c1)C)C3OC(C(C3O2)O)CO DIPDAH10
[nH]1c([nH+]cc1CC[NH3+])N DIPDIP10
S(=O)(=O)(NO)C DIRMIA
O=C1C=CC2=NC(C=C(C2=C1)C)(C)C DISHES
ClC(=C([O-])OCC)[N+](=O)[O-] DISJOE
S(C(=[NH2+])NN)C DITRAZ
Clc1ccc(cc1)C(=O)CC2CCC2 DITYAG10
C1(=NO)C(=[NH+]CCS1)NC DIVJUN
OC1c2c(cccc2)OC3C1CC3 DIVTUX
O=C(N)NC(=[NH2+])N DIVVEJ
O1C(=Cc2ccccc2)C(=O)C(=C1C(=O)O)c3ccccc3 DIVWEK
C(=[NH+]N)(NN)NN DIWCOB
n1c[nH+]c2c(c1N(C)C)nc[nH]2 DIXJEZ
c1(c(cccc1)C=O)OCC(=O)O DIYDIY
[nH]1c([nH+]c(=O)c2c1NCC([NH2+]2)C(O)C(O)C)N DIYPOQ
O=C(N1CC1)N2CC2 DIYPUW
O=C(C1=CCCC2[NH2+]C1CC2)C DIZPUX
C(=O)(OC)C(=O)OC DMEOXA01
S=C([S-])c1ccc(cc1)C(=S)[S-] DOCCIH
S(N=C(Cl)c1snc(n1)C#N)N=C(Cl)c2snc(n2)C#N DOCFIK
O=c1n(cccc1C)C(=NO)C(=NO)C DOCWUN
N(S(=O)(=O)CC)(S(=O)(=O)CC)S(=O)(=O)CC DODNOZ
N(S(=O)(=O)CC)S(=O)(=O)CC DODNUF
S1(=O)(=O)CC2C3C=CC3C2C1 DOJPAT
S(=O)(=O)(SCC([NH+](C)C)CSS(=O)(=O)[O-])[O-] DONFOB
N1(S(=O)(=O)CC1)C(=O)N DOSNOO
S=CN(c1ccccc1)C=S DOTNIJ
S1(=O)(=O)NC(=O)CC(=N1)N DOTVEN
ClC1(C(C1)(C(=O)O)c2ccc(cc2)OCC)Cl DOTWOY
o1c(nc(c(c1=O)C#N)SC)N DOWDEY
C(=O)(C(C[N+](=NO)[O-])[NH3+])[O-] DOXXAP
ON=C1Cc2c1cccc2 DOXZOF
FC(F)([N+](=O)[O-])C(=O)N[NH+](C)C DOZFON
[O-][N+](=O)Nc1nnc([n-]1)N[N+](=O)[O-] DOZNIP
O=c1n2n(c(=O)n1C)C3C=CC2C3 DUBNET
N1(N=C(N=NC1C)C)CO DUDMUK
ON=C(C#N)c1ccccc1 DUGMUN
S(=O)(=O)(N(S(=O)(=O)C)C)C DUGWIL01
S1(=O)(=O)C=CN(C=C1)C(=O)C DUJHEV
C12(OCCN(C1OCCN2C)C)c3ccco3 DUJMEA
s1c([nH+]nc1N)N DUKVAG
S(=O)(=O)(O)CC1OC(C(C(C1O)O)N)O DUKWUB
BrC1C2(C3N(C1)CCC3O2)CO DULTIN
O1CC2OC(=S)OC2C(C1OC)OC DUMHIC
O1CC(C1)(CN(C)[N+](=O)[O-])CN(C)[N+](=O)[O-] DUMPAC
S(C(=C[N+](=O)[O-])Nc1c(cccc1)Cl)C DUPHEB
n1(cccc1)S(=O)(=O)c2ccccc2 DUPTAJ
C1(=CC([N+](=[N+]1[O-])[O-])(C)C)C DURDID
c12ccccc1OCC(O2)(C3=[NH+]CCN3)OC DUTHIJ
s1sc(=S)c(c1C=Cc2nccnc2)C DUVHUX10
[nH]1c(=O)n(c2c(c1=O)n[nH]n2)C DUVXIB
P1(N(CC[N+]1(C)C)C)Cl DUWGAD
ClC(Cl)(Cl)C(=NOC)Nc1c(non1)N DUWKUB
C1(=CC(C(C(O1)CO)O)O)[N+](=O)[O-] DUWRIW
C(=O)(NO)C(=O)NO DUXTIZ
S1C(N(N=C1S(=O)C)C(=O)C)c2ccccc2 DUXWUO
S1(=O)C(N(N=C1S(=O)C)C(=O)C)c2ccccc2 DUXXAV
C12(OC3(N(C(N1N)(CC(C2)(C3)C)C)N)C)C DUYNOA
O(C(=[N+](C)C)N(C)C)C(=CC(=O)c1ccccc1)c2ccccc2 DUYPES
P1(NNP(C1)C(C)(C)C)C(C)(C)C DUYRAQ
P12N(N=C(C1C3CC2C=C3)C)C(=O)C FACMIF
C1(C(C(C(O1)CO)O)O)[N+](=O)[O-] FACREG
c1(occ2c1cc3c(c2)OCO3)C#N FACYAJ
[nH]1[nH]c(=O)c2c1cccc2 FADMIG
S(=O)(=O)(N(S(=O)(=O)C)OS(=O)(=O)C)C FADVEL
S(=O)(=N)(C)CCC([NH3+])C(=O)[O-] FADVUB
P(=O)([O-])(C(=[N+](C)C)N(C)C)C(=[N+](C)C)N(C)C FAGBUK
S(=O)(=O)(N1C(=O)CC1c2ccccc2)C FAGCOF
ClP1Oc2ccccc2O1 FAGLII
O=C1C(=O)C(=O)C1=O FAGVEO
BrC1=C(C(=O)C(=C(C1=O)O)Br)O FAGZOC
S1(=O)(=O)N2c3ccccc3C4C2NC(C1)C=C4 FAHPUZ
n1c[n+](c2c(c1NC)[nH]c(=O)n2C)C FAHSUC
S(C(=[N+]([O-])C)c1ccccc1)C FAHYUI
S1(=O)(=O)OC(=C(C(=O)N1)C)c2ccccc2 FAHZET
O(C)c1nc(=O)[nH]c(n1)OC FAJWIW
S=P1(OC(c2c1cccc2)C)N(C)C FAMHAC
BrN1C(=O)CCC1=O FAMYUN
P1(=O)(NC(=O)NC(=O)N1)[S-] FAPLUD
c1cccc2n1c3c(n2)nc4n3cccc4 FARMAM
s1nc2c(n1)c(=C(C#N)C#N)c3c(c2=C(C#N)C#N)nsn3 FARSOG
S=C([S-])N=C(N)C FARWEA
C(=NN)(NN)NN FASGUB
[P+]1(N(N[P+](NN1C)([O-])N(C)C)C)([S-])Oc2ccccc2 FASJIS
[P+]([O-])(NC(=O)c1cccc(c1)OC)(N2CC2)N3CC3 FATLIV
O=c1[nH]c[nH+]c2c1c[nH]n2 FAXFUF10
S1(=O)(=O)Nc2ccccc2C(=O)N1C FAXVAB
[n+]1(ccccc1)CCCC FAXVEF
c1cccc2n1c3c(n2)cc(cc3[N+](=O)[O-])C(F)(F)F FAXVIJ
S(C(=C(C#N)C#N)[O-])C FAZBAJ
ClC(=C(Cl)[Si](Cl)(Cl)Cl)[Si](Cl)(Cl)Cl FAZKUM
c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(C(C)(C)C)F FBATNB
C1=NN(C=CC(=C(C)C)C1=O)C FECXEQ
[P+](O)(O)([O-])C1NC(=O)CC1 FEGSEP
C1(=C)C(C1)C(=O)N FEHDAX
O=C1C(=C=C)C(N1)Cc2ccccc2 FEJJEJ
[NH+]1(CC[NH+](CC1)CC2CC2)CC3CC3 FEJKIO
S=C(NCCO)c1occc1 FELYIE
c1(ccc(cc1)C(=O)C)N(O)C(=O)C FELYUQ
O=C([O-])C1C2C1CCCCC=C2 FEMGEJ
o1[n+](c(c(n1)C(=NO)C)C)[O-] FENCOQ
c1(nc(on1)C)C(=O)NC FENHAH
S1CCN2C1(C(NC2=S)(C)C)N(C)C FENJIR
S1C(=NCC1)C(CC)(C)NC(=S)N(C)C FENJOX
N1C(=S)N(C(=O)C12CCCC2)CCS FENJUD
P=C(N(C)C)N(C)C FENNUH
C1(=O)C(=[N+]=[N-])C(=O)N2N1CCCC2C(=O)OC(C)(C)C FENYIG
S=C([S-])NC(=[NH2+])C FEPWAY
S(C(F)(F)C(SC#N)(F)F)C#N FEPWOM
N(C=O)(C=O)C=O FESCAH
ClC(Cl)(Cl)C(O)ON=C(c1ccccc1)N FESMIZ
[NH+]12CN3CN(C1)CN(C2)C3 FETRUR
C12CC(C(C1C(C2=O)N3C(=O)CCC3=O)O)O FETWOQ
ClN=C1NC(=O)N(C(C1(Cl)Cl)O)C FEVNUP
o1nc2c(n1)N(CCN2[N+](=O)[O-])[N+](=O)[O-] FEYLUQ
S=C([O-])NNC(=S)[O-] FEZPOP
O=c1n2c(nc(c1)c3ccccc3)NN=C(N2)C FEZRUX
N1(OCCCC1)C(=O)c2ccc(cc2)[N+](=O)[O-] FIBLIL
n1(cnc(c1OC)[N+](=O)[O-])C FICDOK
S(=O)(C12OC1C(CC(C2)(C)C)(C)C)C FIFGUW
C1(CC1)N FIGYID
BrC=Cc1c(=O)[nH]c(=O)n(c1)C2OC(C(C2)O)CO FIHXID
C1(=C(CC(CC1(C#N)C#N)(C#N)C#N)C#N)N FIKJAK
c1(ccccc1)c2csc(=S)[nH]2 FIKZOO10
c1(c([nH]c(=O)c(c1)C#N)C)c2ccncc2 FILGEM
S1(=O)N(C(c2c1cccc2)(C)C)O FILNOD
ClC(Cl)(Cl)C1P2C(OP(O1)OC2C(Cl)(Cl)Cl)C(Cl)(Cl)Cl FINBIN
OC(=O)C1(CC(C1)CO)[NH3+] FINPEX
N1=C(C(=C(C1(C)O)N)C(=O)OCC)C FITGIY
C1(C(C1C#N)C#N)C#N FITSEG
n1c[n+](c2c(c1N)[nH]cn2)C FITTIL
S=C(N)C(C(c1cn(cc(c1=O)C)C)C)C#N FIVNUT
s1nc(c2c1cccc2)NC(=O)NCCCC FIVRAD
c1(ccc(cc1)C)[n+]2c(c(on2)[O-])C(=O)C FIXPIL
S1(=NC(=O)OC(C1)C)(=O)c2ccccc2 FIYBIY
S1(=NS(=O)(=O)c2ccc(cc2)C)C(=C(C(=C1Cl)Cl)Cl)Cl FIZGEA
S1(=NC(=O)OCC)(=O)C(=C(C(=C1Cl)Cl)Cl)Cl FIZGOK
n1nc(nnc1OC)OC FIZJED
O=C([O-])C1(CC1)[NH3+] FOBJUB01
CC(=O)N1C2(CC(C2)C1)C(=O)NC FODTUN
[Si]1(OC2=[N+](C1)CCCC2)(C)C FOGBIM
NC(=Nc1nc(cs1)CSCCC(=NS(=O)(=O)N)N)N FOGVIG01
S=c1nc(nc2n1CCN2)SCCC FOHXEF
S(=O)(=O)(Cl)c1ccc(cc1)C FOHYAC
S1(=O)C(OCCC1CCC)C FOJBEL
S1CC(=O)n2c1c(sc2=O)c3ccc(cc3)C FOJPAV
CC(CC1C(=O)N2C(C(=O)N1)CC2)C FONCOA
Ic1ccc(cc1)C(=O)OC FORGOI
CC(=C(C)[N+](=O)[O-])SC#N FORHEZ
ClC12C3C4(C1(C5C(C2(Cl)Cl)(C3(C5(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl FORJIF
S(c1nn(c(n1)N)c2c(cccc2C)C)C FORJUR
S=C([S-])C(N(C)C)N(C)C FORTAH
ClC(Cl)(Cl)C1=NCCN1[P+]([S-])(N2CC2)N3CC3 FOSDIA
N1=C(NC(N=C1N)N)C FOVHUT
O=C1C2C(C2(OC(=O)C)C)C=C1C FOVJIJ
[nH+]1c(c(n2c1c(ncc2)OCc3ccccc3)N)C FOVRAJ
N1=C(C(CC(=O)N1)C)c2ccc(cc2)n3c[nH+]cc3 FOVRUD
Clc1nn2ccnc2c3c1N=NC3(C)C FOWBEY
O=c1[nH]c2nnnn2nc1Nc3ccc(cc3)OC FOWPOW
s1c2c(=O)sc(=O)c2sc3c1c(=O)sc3=O FOWVES
C12C3C4CC(C1OC=O)CC2C4C(=O)C3 FOWZAS
NC(=[NH2+])c1ccccc1 FOYMAH
o1c(cc2c1c3c(cc2)CCCC3)[N+](=O)[O-] FOYNUC
Cl[SiH](Cl)N(C)C FUCMIZ
s1c2ncsc2nc1 FUCMUL
O=[N+]([O-])[O-] FUCTIG01
n1(cnc2c(c1=N)ncn2C3C(C(C(O3)CO)O)O)C FUCWIJ
n1c(nc2c(c1[n+]3ccccc3)nc[nH]2)N FUCWOP
O=c1c(c1O)O FUDPOJ
N#CC[NH2+]C FUDXUX
N1C(=O)NC(=O)C(C1OO)(C)O FUFDIT
O1C(CC(C1c2n[nH]c3c2[nH+]cnc3N)O)CO FUGWIN
N(OC)OC FUHFAP
[O-][N+](=O)C(=Cc1ccccc1)C#N FUHSEG
n1(nc(nc1N)C(=[NH2+])N)C2C(C(C(O2)CO)O)O FULRAF
S(=O)(=O)([O-])C([N+](=O)[O-])C(=O)OCC FUNSIQ
o1cc(cc1)C(=O)c2ccc(cc2)OC FUNXOB
[n+]1(nn(c2c1cccc2)C(=O)OC(C)(C)C)[O-] FUPJUV
n1nn(c2c1cccc2)OS(=O)(=O)C FUPKIK
n1(n[n+](c2c1cccc2)[O-])C(=O)C(=NOC)c3csc(n3)N FUPKOQ
O1C(SC(=C(Cl)Cl)SC1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl FUPTOZ
OC12C(=CCC1C(C2OC(=O)C)(C)C)C FUPZEV
O=CC=C[O-] FUSPEO
N1(NC(C1=O)(C)C)c2ccccc2 FUTCEC
[SiH3]OC FUTZEZ
O(C1C2n3n4n3C1C(C4C2OC(=O)C)OC(=O)C)C(=O)C FUVDOP
CN(C)C(=[OH+])CCCC(=[OH+])N(C)C FUVMUE
O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C FUVNEP
O(C)c1ccc(cc1)C=[NH+]O FUVXOJ
O1C(=O)N(CC1)S(=O)(=O)Nc2ccccc2 FUWMOZ
[S-][P+]12SP3P(S1)CC(C2)(C3)C FUWTUM
S(P(=O)([O-])[O-])CC[NH2+]CCC[NH3+] FUXXAX
S(=O)(=O)(C(=COC)C#N)C(=COC)C#N FUXZED
N(c1cccc2c1c(ccc2)[NH+](C)C)(C)C GADHEY
C12C(CC(C1)c3c2cc([n+](c3)[O-])[N+](=O)[O-])OC(=O)C GAFNUW
O=C(O)C(N(O)C(=O)C)CC GAHPIO
S(=O)(=O)([O-])[n+]1ccccc1 GAJTEQ
O1C(=O)C(=c2c1c(c3=CCCCn23)C)C GAKGOO
Clc1ccc(c2c1non2)[N+](=O)[O-] GAKNEL
S1(=O)C(=CC)S(=O)CCC1 GAKNIP
S1(=O)(=O)C(=Cc2c1cccc2)C GAKPEN
s1c2c(c3c1csc3)csc2 GAKTAN
O=c1c(=O)cc1O GANHUY
BrC1=Cc2ccccc2S1(=O)=O GAPMEP
o1nc(c([n+]1[O-])N)C GAVKOD
c1(sc(nc1O)C)c2ccccc2 GAVMEV
